"TAX","GOV","obsTime","obsValue"
"TOTALTAX","FED",1973,163846
"TOTALTAX","FED",1974,182902
"TOTALTAX","FED",1975,188458
"TOTALTAX","FED",1976,201357
"TOTALTAX","FED",1977,241886
"TOTALTAX","FED",1978,271436
"TOTALTAX","FED",1979,315365
"TOTALTAX","FED",1980,346840
"TOTALTAX","FED",1981,402489
"TOTALTAX","FED",1982,400550
"TOTALTAX","FED",1983,376054
"TOTALTAX","FED",1984,410223
"TOTALTAX","FED",1985,450563
"TOTALTAX","FED",1986,465419
"TOTALTAX","FED",1987,531588
"TOTALTAX","FED",1988,554841
"TOTALTAX","FED",1989,608276
"TOTALTAX","FED",1990,632160
"TOTALTAX","FED",1991,628116
"TOTALTAX","FED",1992,656705
"TOTALTAX","FED",1993,712171
"TOTALTAX","FED",1994,778571
"TOTALTAX","FED",1995,840645
"TOTALTAX","FED",1996,934446
"TOTALTAX","FED",1997,1035654
"TOTALTAX","FED",1998,1120417
"TOTALTAX","FED",1999,1203307
"TOTALTAX","FED",2000,1316632
"TOTALTAX","FED",2001,1254773
"TOTALTAX","FED",2002,1078486
"TOTALTAX","FED",2003,1075839
"TOTALTAX","FED",2004,1165211
"TOTALTAX","FED",2005,1392812
"TOTALTAX","FED",2006,1562608
"TOTALTAX","FED",2007,1634127
"TOTALTAX","FED",2008,1517778
"TOTALTAX","FED",2009,1144276
"TOTALTAX","FED",2010,1288676
"TOTALTAX","FED",2011,1488047
"TOTALTAX","FED",2012,1587024
"TOTALTAX","FED",2013,1765757
"TOTALTAX","FED",2014,1918871
"TOTALTAX","FED",2015,2041407
"TOTALTAX","FED",2016,2054530
"TOTALTAX","FED",2017,2328070
"TOTALTAX","FED",2018,1980351
"TOTALTAX","STATE",1973,68686
"TOTALTAX","STATE",1974,131164
"TOTALTAX","STATE",1975,80825
"TOTALTAX","STATE",1976,157274
"TOTALTAX","STATE",1977,101517
"TOTALTAX","STATE",1978,194077
"TOTALTAX","STATE",1979,125342
"TOTALTAX","STATE",1980,137633
"TOTALTAX","STATE",1981,150239
"TOTALTAX","STATE",1982,163106
"TOTALTAX","STATE",1983,171881
"TOTALTAX","STATE",1984,197243
"TOTALTAX","STATE",1985,215684
"TOTALTAX","STATE",1986,228445
"TOTALTAX","STATE",1987,247275
"TOTALTAX","STATE",1988,264468
"TOTALTAX","STATE",1989,284555
"TOTALTAX","STATE",1990,309698
"TOTALTAX","STATE",1991,318718
"TOTALTAX","STATE",1992,343258
"TOTALTAX","STATE",1993,361766
"TOTALTAX","STATE",1994,385542
"TOTALTAX","STATE",1995,406510
"TOTALTAX","STATE",1996,431464
"TOTALTAX","STATE",1997,455522
"TOTALTAX","STATE",1998,487915
"TOTALTAX","STATE",1999,515794
"TOTALTAX","STATE",2000,547601
"TOTALTAX","STATE",2001,554455
"TOTALTAX","STATE",2002,538840
"TOTALTAX","STATE",2003,563400
"TOTALTAX","STATE",2004,611896
"TOTALTAX","STATE",2005,682331
"TOTALTAX","STATE",2006,732750
"TOTALTAX","STATE",2007,762570
"TOTALTAX","STATE",2008,768576
"TOTALTAX","STATE",2009,686466
"TOTALTAX","STATE",2010,723859
"TOTALTAX","STATE",2011,775654
"TOTALTAX","STATE",2012,810008
"TOTALTAX","STATE",2013,867741
"TOTALTAX","STATE",2014,891672
"TOTALTAX","STATE",2015,920951
"TOTALTAX","STATE",2016,928070
"TOTALTAX","STATE",2017,954881
"TOTALTAX","STATE",2018,999258
"TOTALTAX","LOCAL",1973,52858
"TOTALTAX","LOCAL",1974,0
"TOTALTAX","LOCAL",1975,61064
"TOTALTAX","LOCAL",1976,0
"TOTALTAX","LOCAL",1977,74832
"TOTALTAX","LOCAL",1978,0
"TOTALTAX","LOCAL",1979,80650
"TOTALTAX","LOCAL",1980,86436
"TOTALTAX","LOCAL",1981,94829
"TOTALTAX","LOCAL",1982,103703
"TOTALTAX","LOCAL",1983,113202
"TOTALTAX","LOCAL",1984,123451
"TOTALTAX","LOCAL",1985,134523
"TOTALTAX","LOCAL",1986,145055
"TOTALTAX","LOCAL",1987,158275
"TOTALTAX","LOCAL",1988,171659
"TOTALTAX","LOCAL",1989,184534
"TOTALTAX","LOCAL",1990,213582
"TOTALTAX","LOCAL",1991,230155
"TOTALTAX","LOCAL",1992,241021
"TOTALTAX","LOCAL",1993,247706
"TOTALTAX","LOCAL",1994,263799
"TOTALTAX","LOCAL",1995,270694
"TOTALTAX","LOCAL",1996,283751
"TOTALTAX","LOCAL",1997,300807
"TOTALTAX","LOCAL",1998,314248
"TOTALTAX","LOCAL",1999,332575
"TOTALTAX","LOCAL",2000,353181
"TOTALTAX","LOCAL",2001,367567
"TOTALTAX","LOCAL",2002,392425
"TOTALTAX","LOCAL",2003,417280
"TOTALTAX","LOCAL",2004,454110
"TOTALTAX","LOCAL",2005,496312
"TOTALTAX","LOCAL",2006,530643
"TOTALTAX","LOCAL",2007,564556
"TOTALTAX","LOCAL",2008,570910
"TOTALTAX","LOCAL",2009,583896
"TOTALTAX","LOCAL",2010,587198
"TOTALTAX","LOCAL",2011,595836
"TOTALTAX","LOCAL",2012,609898
"TOTALTAX","LOCAL",2013,628154
"TOTALTAX","LOCAL",2014,656778
"TOTALTAX","LOCAL",2015,677011
"TOTALTAX","LOCAL",2016,705704
"TOTALTAX","LOCAL",2017,739934
"TOTALTAX","LOCAL",2018,770880
"TOTALTAX","SOCSEC",1973,63404
"TOTALTAX","SOCSEC",1974,75476
"TOTALTAX","SOCSEC",1975,85039
"TOTALTAX","SOCSEC",1976,91386
"TOTALTAX","SOCSEC",1977,107735
"TOTALTAX","SOCSEC",1978,122748
"TOTALTAX","SOCSEC",1979,141162
"TOTALTAX","SOCSEC",1980,159763
"TOTALTAX","SOCSEC",1981,185373
"TOTALTAX","SOCSEC",1982,203846
"TOTALTAX","SOCSEC",1983,211491
"TOTALTAX","SOCSEC",1984,242555
"TOTALTAX","SOCSEC",1985,269144
"TOTALTAX","SOCSEC",1986,289039
"TOTALTAX","SOCSEC",1987,310185
"TOTALTAX","SOCSEC",1988,343186
"TOTALTAX","SOCSEC",1989,370413
"TOTALTAX","SOCSEC",1990,396972
"TOTALTAX","SOCSEC",1991,415220
"TOTALTAX","SOCSEC",1992,437751
"TOTALTAX","SOCSEC",1993,458174
"TOTALTAX","SOCSEC",1994,487580
"TOTALTAX","SOCSEC",1995,510476
"TOTALTAX","SOCSEC",1996,533666
"TOTALTAX","SOCSEC",1997,565504
"TOTALTAX","SOCSEC",1998,602915
"TOTALTAX","SOCSEC",1999,638518
"TOTALTAX","SOCSEC",2000,683104
"TOTALTAX","SOCSEC",2001,707932
"TOTALTAX","SOCSEC",2002,723678
"TOTALTAX","SOCSEC",2003,748486
"TOTALTAX","SOCSEC",2004,794037
"TOTALTAX","SOCSEC",2005,831410
"TOTALTAX","SOCSEC",2006,873157
"TOTALTAX","SOCSEC",2007,907357
"TOTALTAX","SOCSEC",2008,930149
"TOTALTAX","SOCSEC",2009,902378
"TOTALTAX","SOCSEC",2010,917409
"TOTALTAX","SOCSEC",2011,847151
"TOTALTAX","SOCSEC",2012,880301
"TOTALTAX","SOCSEC",2013,1030098
"TOTALTAX","SOCSEC",2014,1077038
"TOTALTAX","SOCSEC",2015,1126110
"TOTALTAX","SOCSEC",2016,1153644
"TOTALTAX","SOCSEC",2017,1204452
"TOTALTAX","SOCSEC",2018,1256673
"TOTALTAX","NES",1965,167022
"TOTALTAX","NES",1966,186065
"TOTALTAX","NES",1967,208577
"TOTALTAX","NES",1968,218623
"TOTALTAX","NES",1969,261468
"TOTALTAX","NES",1970,276727
"TOTALTAX","NES",1971,278738
"TOTALTAX","NES",1972,313091
"TOTALTAX","NES",1973,348794
"TOTALTAX","NES",1974,389542
"TOTALTAX","NES",1975,415386
"TOTALTAX","NES",1976,450017
"TOTALTAX","NES",1977,525970
"TOTALTAX","NES",1978,588261
"TOTALTAX","NES",1979,662519
"TOTALTAX","NES",1980,730672
"TOTALTAX","NES",1981,832930
"TOTALTAX","NES",1982,871205
"TOTALTAX","NES",1983,872628
"TOTALTAX","NES",1984,973472
"TOTALTAX","NES",1985,1069914
"TOTALTAX","NES",1986,1127958
"TOTALTAX","NES",1987,1247323
"TOTALTAX","NES",1988,1334154
"TOTALTAX","NES",1989,1447778
"TOTALTAX","NES",1990,1552412
"TOTALTAX","NES",1991,1592210
"TOTALTAX","NES",1992,1678735
"TOTALTAX","NES",1993,1779818
"TOTALTAX","NES",1994,1915492
"TOTALTAX","NES",1995,2028326
"TOTALTAX","NES",1996,2183329
"TOTALTAX","NES",1997,2357489
"TOTALTAX","NES",1998,2525495
"TOTALTAX","NES",1999,2690195
"TOTALTAX","NES",2000,2900519
"TOTALTAX","NES",2001,2884729
"TOTALTAX","NES",2002,2733431
"TOTALTAX","NES",2003,2805007
"TOTALTAX","NES",2004,3025256
"TOTALTAX","NES",2005,3402866
"TOTALTAX","NES",2006,3699160
"TOTALTAX","NES",2007,3868611
"TOTALTAX","NES",2008,3787414
"TOTALTAX","NES",2009,3317017
"TOTALTAX","NES",2010,3517143
"TOTALTAX","NES",2011,3706689
"TOTALTAX","NES",2012,3887232
"TOTALTAX","NES",2013,4291752
"TOTALTAX","NES",2014,4544361
"TOTALTAX","NES",2015,4765481
"TOTALTAX","NES",2016,4841949
"TOTALTAX","NES",2017,5227338
"TOTALTAX","NES",2018,5007164
"Corporate Income Tax","FED",1973,139476
"Corporate Income Tax","FED",1974,157642
"Corporate Income Tax","FED",1975,163072
"Corporate Income Tax","FED",1976,173073
"Corporate Income Tax","FED",1977,211698
"Corporate Income Tax","FED",1978,241032
"Corporate Income Tax","FED",1979,283587
"Corporate Income Tax","FED",1980,308737
"Corporate Income Tax","FED",1981,346778
"Corporate Income Tax","FED",1982,347417
"Corporate Income Tax","FED",1983,326078
"Corporate Income Tax","FED",1984,355526
"Corporate Income Tax","FED",1985,396098
"Corporate Income Tax","FED",1986,412312
"Corporate Income Tax","FED",1987,476715
"Corporate Income Tax","FED",1988,495655
"Corporate Income Tax","FED",1989,549319
"Corporate Income Tax","FED",1990,569651
"Corporate Income Tax","FED",1991,555351
"Corporate Income Tax","FED",1992,582129
"Corporate Income Tax","FED",1993,632910
"Corporate Income Tax","FED",1994,684477
"Corporate Income Tax","FED",1995,750144
"Corporate Income Tax","FED",1996,844104
"Corporate Income Tax","FED",1997,937254
"Corporate Income Tax","FED",1998,1014560
"Corporate Income Tax","FED",1999,1091105
"Corporate Income Tax","FED",2000,1201279
"Corporate Income Tax","FED",2001,1141539
"Corporate Income Tax","FED",2002,966360
"Corporate Income Tax","FED",2003,963656
"Corporate Income Tax","FED",2004,1045333
"Corporate Income Tax","FED",2005,1268411
"Corporate Income Tax","FED",2006,1435527
"Corporate Income Tax","FED",2007,1513031
"Corporate Income Tax","FED",2008,1395528
"Corporate Income Tax","FED",2009,1032281
"Corporate Income Tax","FED",2010,1176817
"Corporate Income Tax","FED",2011,1369780
"Corporate Income Tax","FED",2012,1457785
"Corporate Income Tax","FED",2013,1619408
"Corporate Income Tax","FED",2014,1763748
"Corporate Income Tax","FED",2015,1880844
"Corporate Income Tax","FED",2016,1896824
"Corporate Income Tax","FED",2017,1923454
"Corporate Income Tax","FED",2018,1796744
"Corporate Income Tax","STATE",1973,21082
"Corporate Income Tax","STATE",1974,25587
"Corporate Income Tax","STATE",1975,25509
"Corporate Income Tax","STATE",1976,31947
"Corporate Income Tax","STATE",1977,34667
"Corporate Income Tax","STATE",1978,43914
"Corporate Income Tax","STATE",1979,44750
"Corporate Income Tax","STATE",1980,50410
"Corporate Income Tax","STATE",1981,55039
"Corporate Income Tax","STATE",1982,59714
"Corporate Income Tax","STATE",1983,62942
"Corporate Income Tax","STATE",1984,74453
"Corporate Income Tax","STATE",1985,81281
